TA;doc;url;page;term;portfolio;context
HST10;committee-papers-3.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers-3#page=38;38;managed access;0;             i.   removed mortality effect for lower NT-proBNP states (see ECD section                   4.16)     3. Managed access is not an option because committee agreed that further data          collection would be unlikely to resolve the key uncertainties associated with [Insert footer here]                                                                     1 of 2
HST10;committee-papers-3.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers-3#page=43;43;early access;0;drug designation (see COMP’s Orphan Maintenance Assessment Report), and were part of Alnylam’s successful applications to the MHRA leading to patisiran’s Promising Innovative Medicine (PIM) designation and subsequent Early Access to Medicines Scheme (EAMS) approval. There is robust evidence to support patisiran’s beneficial impact on autonomic dysfunction. We agree that the uncertainty stems from the lack of an obvious approach to incorporate these
HST10;committee-papers-3.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers-3#page=43;43;early access to medicines;0;drug designation (see COMP’s Orphan Maintenance Assessment Report), and were part of Alnylam’s successful applications to the MHRA leading to patisiran’s Promising Innovative Medicine (PIM) designation and subsequent Early Access to Medicines Scheme (EAMS) approval. There is robust evidence to support patisiran’s beneficial impact on autonomic dysfunction. We agree that the uncertainty stems from the lack of an obvious approach to incorporate these
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=100;100;expanded access;0;Scientific Opinion for EAMS on 2 August 2018. No additional evidence is anticipated to be released in the next 12 months from the Expanded Access Protocol or the EAMS study. 4.2      Additional assessment in the UK Patisiran has been assessed by the MHRA and has been granted a Promising
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=281;281;early access;0;"10MWT: 10-metre walk test; 6MWT: 6-minute walk test; imaging BP: blood pressure; mBMI: modified body mass index; CMT: Charcot-Marie-Tooth; DPD: 99mTc-3,3-diphosphono-1,2-propanodicarboxylic acid; EAMS: Early Access to Medicines Scheme; MRI: magnetic resonance imaging; NAC: National Amyloidosis Centre; NHNN: The National Hospital for Neurology and Neurosurgery; NIS: Neurological Impairment Score; NT-proBNP: N-terminal pro b-type natriuretic peptide; NYHA: New York Heart"
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=281;281;early access to medicines;0;"10MWT: 10-metre walk test; 6MWT: 6-minute walk test; imaging BP: blood pressure; mBMI: modified body mass index; CMT: Charcot-Marie-Tooth; DPD: 99mTc-3,3-diphosphono-1,2-propanodicarboxylic acid; EAMS: Early Access to Medicines Scheme; MRI: magnetic resonance imaging; NAC: National Amyloidosis Centre; NHNN: The National Hospital for Neurology and Neurosurgery; NIS: Neurological Impairment Score; NT-proBNP: N-terminal pro b-type natriuretic peptide; NYHA: New York Heart"
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=281;281;expanded access;0;"Impairment Score; NT-proBNP: N-terminal pro b-type natriuretic peptide; NYHA: New York Heart Association; PND: polyneuropathy disability; QoL: quality of life. An Expanded Access Protocol study is currently enrolling adult patients who have not previously participated in an interventional hATTR amyloidosis clinical trial involving RNAi therapeutics within the last 12 months.43 Patients who are eligible will receive"
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=282;282;compassionate;0;data are accruing in the ongoing Global OLE (up to 5 years of therapy),41 with additional real-world evidence forthcoming from the US Expanded Access Program for compassionate use of patisiran, and the anticipated EAMS programme for patisiran (see Section 4.1). At the time of the present HST submission, however, the main evidence base for patisiran is the APOLLO study.11 The 18-month duration of APOLLO
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=282;282;expanded access;0;information available on long-term treatment outcomes with patisiran. Longer-term data are accruing in the ongoing Global OLE (up to 5 years of therapy),41 with additional real-world evidence forthcoming from the US Expanded Access Program for compassionate use of patisiran, and the anticipated EAMS programme for patisiran (see Section 4.1). At the time of the present HST submission, however, the main
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=282;282;managed access;0;Section F - Managed Access Arrangements (please see sections 55-59 of the HST methods guide on MAAs) 15            Managed Access Arrangement
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=282;282;managed access;0;Section F - Managed Access Arrangements (please see sections 55-59 of the HST methods guide on MAAs) 15            Managed Access Arrangement 15.1    Level of engagement with clinical and patient groups to develop         the MAA
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=286;286;expanded access;0;        https://clinicaltrials.gov/ct2/show/NCT02510261?term=ALN-TTR02-         006&rank=1. Accessed March 15 2018. 43.     Clinicaltrials.gov. Expanded access protocol of patisiran for patients         with hereditary ATTR Amyloidosis (hATTR).         https://clinicaltrials.gov/ct2/show/NCT02939820?term=patisiran&rank=
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=299;299;compassionate;0;A1.   Please provide any relevant results relating to the safety and/or efficacy of patisiran       available from:       a.     Compassionate Use Programme (Company Submission [CS], Section 4.1, page              28)       b.     Latest data cut-off for the global OLE study (CS, Section 4.1, page 28)
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=311;311;compassionate;0;A1.     Please provide any relevant results relating to the safety and/or efficacy of patisiran         available from:         a.      Compassionate Use Programme (Company Submission [CS], Section 4.1, page                 28) Response: The National Amyloidosis Centre (NAC) is compiling data from patients with
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=311;311;compassionate;0;                28) Response: The National Amyloidosis Centre (NAC) is compiling data from patients with hereditary transthyretin-mediated (hATTR) amyloidosis in the Compassionate Use Programme. However, as this prospective data collection was not conducted by us, we are not in a position to report the safety or efficacy findings.
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=314;314;compassionate;0;                homecare.      2.         Alnylam and the NAC’s experience with patients accessing patisiran through a                 compassionate use scheme and the Early Access to Medicines scheme. The                 NAC believes that all English patients enrolled into the scheme would be happy                 to either travel to the NAC for therapy or receive infusions through homecare.
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=314;314;early access;0;                homecare.      2.         Alnylam and the NAC’s experience with patients accessing patisiran through a                 compassionate use scheme and the Early Access to Medicines scheme. The                 NAC believes that all English patients enrolled into the scheme would be happy                 to either travel to the NAC for therapy or receive infusions through homecare.
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=314;314;early access to medicines;0;                homecare.      2.         Alnylam and the NAC’s experience with patients accessing patisiran through a                 compassionate use scheme and the Early Access to Medicines scheme. The                 NAC believes that all English patients enrolled into the scheme would be happy                 to either travel to the NAC for therapy or receive infusions through homecare.
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=392;392;compassionate;0;Disadvantages of the technology 10. What do patients or         Until now patisiran has only been delivered at the National Amyloidosis Centre (NAC) under the trial and compassionate use                                 protocols. We know that some patients and carers are concerned about the long-term impact of travelling regularly to the NAC for carers think are the
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=437;437;compassionate;0;come to light subsequently during routine clinical practice? No significant adverse events were reported or have come to light in routine clinical practice through the compassionate use programme.                                                                                         4
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=455;455;early access;0;       outcomes? 18. Are you aware of any                   Growing experience by specialists who have patients on open label long-term extensions of the phase III relevant evidence that might               RCTs, and their real-world experience with early access to medicine schemes . not be found by a systematic review of published evidence?
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=456;456;compassionate;0;19. How do data on real-world             The experience of my colleagues at the NAC treating patients through compassionate access (over one experience in this condition              year) and early access to medicine schemes has been extremely favourable. Remarkable clinically compare with clinical trial               significant improvements of well-being and function have occurred in a majority of cases, including
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=456;456;early access;0;19. How do data on real-world             The experience of my colleagues at the NAC treating patients through compassionate access (over one experience in this condition              year) and early access to medicine schemes has been extremely favourable. Remarkable clinically compare with clinical trial               significant improvements of well-being and function have occurred in a majority of cases, including data?                                     regaining the ability to walk unaided.
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=491;491;early access;0; CSR          Clinical study report  DSAs         Deterministic sensitivity analyses  EAMS         Early Access to Medicines Scheme  eGFR         Estimated glomerular filtration rate  eMIT         Electronic market information tool
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=491;491;early access to medicines;0; CSR          Clinical study report  DSAs         Deterministic sensitivity analyses  EAMS         Early Access to Medicines Scheme  eGFR         Estimated glomerular filtration rate  eMIT         Electronic market information tool
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=522;522;compassionate;0;"study completion.22 This study is expected to provide data on the long-term safety and efficacy of patisiran (CS,1 page 28). Data are also available from the ongoing Expanded Access Protocol (Compassionate Use Programme; NCT02939820),23 which enables adult hATTR amyloidosis patients who meet the eligibility criteria, and who have not previously participated in an interventional study of RNAi therapeutics for hATTR"
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=522;522;early access;0;and who have not previously participated in an interventional study of RNAi therapeutics for hATTR amyloidosis within the last 12 months, to receive patisiran (CS,1 page 28). Patisiran is also included in the Early Access to Medicines Scheme (EAMS), through which evidence on its efficacy and safety will be available (CS,1 pages 28-29). The company does not anticipate any additional evidence to be released from either the Expanded Access Protocol or the EAMS within the next 12 months (CS,1 page 29).
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=522;522;early access to medicines;0;and who have not previously participated in an interventional study of RNAi therapeutics for hATTR amyloidosis within the last 12 months, to receive patisiran (CS,1 page 28). Patisiran is also included in the Early Access to Medicines Scheme (EAMS), through which evidence on its efficacy and safety will be available (CS,1 pages 28-29). The company does not anticipate any additional evidence to be released from either the Expanded Access Protocol or the EAMS within the next 12 months (CS,1 page 29).
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=522;522;expanded access;0;"study completion.22 This study is expected to provide data on the long-term safety and efficacy of patisiran (CS,1 page 28). Data are also available from the ongoing Expanded Access Protocol (Compassionate Use Programme; NCT02939820),23 which enables adult hATTR amyloidosis patients who meet the eligibility criteria, and who have not previously participated in an interventional study of RNAi therapeutics for hATTR"
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=522;522;expanded access;0;the Early Access to Medicines Scheme (EAMS), through which evidence on its efficacy and safety will be available (CS,1 pages 28-29). The company does not anticipate any additional evidence to be released from either the Expanded Access Protocol or the EAMS within the next 12 months (CS,1 page 29). 4.2.2    Details of relevant studies not included in the submission The ERG is confident that APOLLO, the Phase 2 dose escalation study, the Phase 2 OLE and Global
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=621;621;expanded access;0;"    extension study. Paper presented at: XVIth International Symposium on Amyloidosis (ISA);     Kumamoto, Japan, 26–29 March 2018. 23. Clinicaltrials.gov. Expanded access protocol of patisiran for patients with hereditary ATTR     amyloidosis (hATTR). 2016. Available from:     https://clinicaltrials.gov/ct2/show/NCT02939820?term=NCT02939820&rank=1 (accessed"
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=75;75;managed access;0;  14.10     Additional infrastructure related to the safe and effective use of the   technology ............................................................................................................209 Section F - Managed Access Arrangements (please see sections 55-59 of the HST methods guide on MAAs) .........................................................................................210 15   Managed Access Arrangement ........................................................................210
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=75;75;managed access;0;Section F - Managed Access Arrangements (please see sections 55-59 of the HST methods guide on MAAs) .........................................................................................210 15   Managed Access Arrangement ........................................................................210   15.1      Level of engagement with clinical and patient groups to develop the MAA             210
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=81;81;early access;0; COMPASS-31          Composite autonomic symptom score-31  DPD                 99mTc-3,3-diphosphono-1,2-propanodicarboxylic acid  EAMS                Early Access to Medicines Scheme  ECG                 Echocardiogram  EPAR                European Public Assessment Report
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=81;81;early access to medicines;0; COMPASS-31          Composite autonomic symptom score-31  DPD                 99mTc-3,3-diphosphono-1,2-propanodicarboxylic acid  EAMS                Early Access to Medicines Scheme  ECG                 Echocardiogram  EPAR                European Public Assessment Report
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=84;84;early access;0;received the designation of Promising Innovative Medicine (PIM) from the Medicines and Healthcare products Regulatory Agency (MHRA).14 Alnylam Pharmaceuticals has established an Early Access to Medicines Scheme (EAMS) for eligible hATTR amyloidosis patients, with the MHRA announcing its EAMS Scientific Opinion on August 3rd 2018.15
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=84;84;early access to medicines;0;received the designation of Promising Innovative Medicine (PIM) from the Medicines and Healthcare products Regulatory Agency (MHRA).14 Alnylam Pharmaceuticals has established an Early Access to Medicines Scheme (EAMS) for eligible hATTR amyloidosis patients, with the MHRA announcing its EAMS Scientific Opinion on August 3rd 2018.15
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=96;96;managed access;0;" equality                              authorisation.                                   <U+F0B7>    Guidance will take into account                                        any Managed Access                                        Arrangements CE: cost-effectiveness; GI: gastrointestinal; N/A: not applicable; NHS: National Health Service; PSS: Personal Social Services; RCT: randomised controlled trial."
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=99;99;compassionate;0;(FDA) granted ‘breakthrough therapy designation’ to patisiran. 3.4     Current use in England Patisiran is currently available under a compassionate use program in the UK. Additionally, the MHRA has granted patisiran a “Promising Innovative Medicine” (PIM) designation and granted a Scientific Opinion under the Early Access to
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=99;99;compassionate;0;"participated in an interventional hATTR amyloidosis clinical trial involving RNAi therapeutics within the last 12 months are eligible to receive patisiran as part of the Expanded Access Protocol (Compassionate Use program; NCT02939820).43 Alnylam submitted an application to the UK Medicines and Healthcare Products Regulatory Agency (MHRA) for assessment for inclusion in the Early Access to"
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=99;99;early access;0;Patisiran is currently available under a compassionate use program in the UK. Additionally, the MHRA has granted patisiran a “Promising Innovative Medicine” (PIM) designation and granted a Scientific Opinion under the Early Access to Medicines Scheme (EAMS) on August 3, 2018. Patisiran is available for use under the approved EAMS protocol.
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=99;99;early access;0;"Expanded Access Protocol (Compassionate Use program; NCT02939820).43 Alnylam submitted an application to the UK Medicines and Healthcare Products Regulatory Agency (MHRA) for assessment for inclusion in the Early Access to Specification for company submission of evidence                               28 of 225"
HST10;committee-papers.pdf;https://www.nice.org.uk/guidance/HST10/documents/committee-papers#page=99;99;expanded access;0;"participated in an interventional hATTR amyloidosis clinical trial involving RNAi therapeutics within the last 12 months are eligible to receive patisiran as part of the Expanded Access Protocol (Compassionate Use program; NCT02939820).43 Alnylam submitted an application to the UK Medicines and Healthcare Products Regulatory Agency (MHRA) for assessment for inclusion in the Early Access to"
HST10;evaluation-consultation-document.pdf;https://www.nice.org.uk/guidance/HST10/documents/evaluation-consultation-document#page=13;13;early access;0;              patisiran for different durations, depending on when they entered the               study. The committee was also aware that patisiran has been available               through the Early Access to Medicines Scheme and that the company               intended to release data collected as part of this in the next 12 months.               The committee concluded that there was no long-term clinical evidence
HST10;evaluation-consultation-document.pdf;https://www.nice.org.uk/guidance/HST10/documents/evaluation-consultation-document#page=13;13;early access to medicines;0;              patisiran for different durations, depending on when they entered the               study. The committee was also aware that patisiran has been available               through the Early Access to Medicines Scheme and that the company               intended to release data collected as part of this in the next 12 months.               The committee concluded that there was no long-term clinical evidence
HST10;evaluation-consultation-document.pdf;https://www.nice.org.uk/guidance/HST10/documents/evaluation-consultation-document#page=24;24;managed access;0;                                                               CONFIDENTIAL UNTIL PUBLISHED Managed access 4.27          The committee reiterated the uncertainties associated with patisiran. It               recalled that, although the clinical evidence might be associated with
HST10;evaluation-consultation-document.pdf;https://www.nice.org.uk/guidance/HST10/documents/evaluation-consultation-document#page=24;24;managed access;0;              an inaccurate reflection of the true expected cost effectiveness (see               section 4.12). It therefore noted that further data collection, as proposed in               a managed access arrangement, would not be a possible route to               resolving the key uncertainties associated with patisiran because it would               not address the uncertainties in the economic model. The committee
HST10;evaluation-consultation-document.pdf;https://www.nice.org.uk/guidance/HST10/documents/evaluation-consultation-document#page=24;24;managed access;0;              acknowledged that long-term data were already being collected and would               be made available in the future (see section 4.9). It concluded that               patisiran could not be recommended and that a managed access               arrangement would be unlikely to resolve the uncertainties. Conclusion
HST11;committee-papers-2.pdf;portfoliodocument;345;managed access;1;Section F - Managed Access Arrangements (please see sections 55-59 of the HST methods guide on MAAs) 15           Managed Access Arrangement
HST11;committee-papers-2.pdf;portfoliodocument;345;managed access;1;Section F - Managed Access Arrangements (please see sections 55-59 of the HST methods guide on MAAs) 15           Managed Access Arrangement Not applicable. A fundamental requirement of a Managed Access Arrangement proposal is that it addresses a significant uncertainty in the evidence base.
HST11;committee-papers-2.pdf;portfoliodocument;345;managed access;1;sections 55-59 of the HST methods guide on MAAs) 15           Managed Access Arrangement Not applicable. A fundamental requirement of a Managed Access Arrangement proposal is that it addresses a significant uncertainty in the evidence base. Although the ICER is sensitive to the assumed treatment effect duration beyond
HST11;committee-papers-2.pdf;portfoliodocument;345;managed access;1;establish a registry to collect long-term safety data in patients treated with VN in clinical practice. Consequently any data collection arrangements as part of a Managed Access Arrangement over a shorter time period would add limited value. 15.1         Describe the gaps identified in the evidence base, and the
HST11;committee-papers-2.pdf;portfoliodocument;85;managed access;1;Section E – Impact of the technology beyond direct health benefits ............ 255 14     Impact of the technology beyond direct health benefits ..................... 255 Section F - Managed Access Arrangements (please see sections 55-59 of the HST methods guide on MAAs)..................................................................... 262 15     Managed Access Arrangement .......................................................... 262
HST11;committee-papers-2.pdf;portfoliodocument;85;managed access;1;Section F - Managed Access Arrangements (please see sections 55-59 of the HST methods guide on MAAs)..................................................................... 262 15     Managed Access Arrangement .......................................................... 262 16     References ......................................................................................... 264 17     Appendices ........................................................................................ 278
HST11;committee-papers-2.pdf;portfoliodocument;93;managed access;1; LYG                Life years gained  MA                 Marketing authorisation  MAA                Managed Access Arrangement  MDT                Multidisciplinary team  mITT               Modified intention-to-treat
HST12;1-2.pdf;https://www.nice.org.uk/guidance/HST12/documents/1-2#page=13;13;compassionate;0;      – proxy of young adult with a severe brain injury is inappropriate • Emotional strain of CLN2 can have an adverse effect on relationships • There have been further CLN2 diagnoses since compassionate use places were   filled, meaning there are patients not receiving treatment and will lose many of   their current abilities at a rapid rate
HST12;1-2.pdf;https://www.nice.org.uk/guidance/HST12/documents/1-2#page=13;13;managed access;0;• Helpless feeling knowing there is an effective treatment which is essential to   maintaining the quality of life of children and families which cannot be accessed • Managed Access Agreement will address lack of long term clinical data             13
HST12;1-2.pdf;https://www.nice.org.uk/guidance/HST12/documents/1-2#page=14;14;expanded access;0;• MRI scans find no deterioration of the brain after 1 year of enzyme replacement • No evidence of any cardiac structural or rhythm abnormalities identified in the trial or   in the expanded access program • ‘[decision] not surprising given the health economic evaluation, anticipated cost of   the technology and NICE criteria. We have an ethical duty to continue their [children
HST12;1-2.pdf;https://www.nice.org.uk/guidance/HST12/documents/1-2#page=18;18;managed access;0;consideration: • 2 scenarios incorporating alternative assumptions • A managed access agreement proposal • A commercial offer – commercial in confidence to be discussed in part 2                                                                          18
HST12;1-2.pdf;https://www.nice.org.uk/guidance/HST12/documents/1-2#page=24;24;managed access;0;           Managed access agreement (I)                                Start criteria • All required
